,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
0,1,Fernando Abad*,33,SFG,8.2,13,13,1,0,2,0,0,0,,5,5,13,3,23%,6,1.359,7,3,3,6,1,6,8,5,1,8,2,3,2.0,9
1,2,Bryan Abreu,22,HOU,3.0,2,2,1,0,0,0,0,0,,0,0,0,0,,8,.005,0,0,2,1,0,1,0,2,1,0,1,0,4.5,25
2,3,Jason Adam,27,TOR,14.2,14,14,1,1,0,1,0,1,0%,3,2,7,1,14%,6,1.103,5,5,4,4,3,7,5,9,3,4,5,2,3.1,20
3,4,Austin Adams,32,TOT,16.2,15,15,9,0,0,0,0,0,,0,0,4,2,50%,,.207,0,2,11,2,1,12,2,13,4,2,4,3,3.3,21
4,5,Austin Adams,32,MIN,2.2,2,2,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,0,2,0,0,0,2,1,1,1,0,4.0,37
5,6,Austin Adams,32,DET,14.0,13,13,8,0,0,0,0,0,,0,0,4,2,50%,9,.255,0,2,11,0,1,12,2,11,3,1,3,3,3.2,19
6,7,Austin Adams,28,TOT,28.0,25,23,1,1,2,1,0,1,0%,11,10,13,4,31%,,1.177,5,11,7,14,2,7,9,14,8,5,9,4,3.4,19
7,8,Austin Adams,28,WSN,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,7,.130,0,0,1,0,0,1,0,1,0,0,0,0,3.0,33
8,9,Austin Adams,28,SEA,27.0,24,22,1,1,2,1,0,1,0%,11,10,13,4,31%,8,1.236,5,11,6,14,2,6,9,13,8,5,9,4,3.5,18
9,10,Chance Adams,24,NYY,23.2,10,10,3,1,0,3,1,2,33%,3,0,6,2,33%,8,.355,1,2,7,6,0,4,3,7,7,1,7,0,7.1,46
10,11,Ehire Adrianza,29,MIN,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.003,0,0,0,0,0,1,0,1,0,0,0,0,3.0,21
11,12,Dario Agrazal,24,PIT,58.1,12,1,0,0,0,0,0,0,,0,0,0,0,,6,.983,0,0,1,0,0,1,0,1,1,0,1,0,6.0,23
12,13,R.J. Alaniz,28,TOT,12.1,10,10,3,0,0,0,0,0,,0,0,7,3,43%,,.463,1,0,8,2,0,8,4,6,4,4,4,1,3.7,20
13,14,R.J. Alaniz,28,SEA,4.0,4,4,1,0,0,0,0,0,,0,0,1,1,100%,7,.555,0,0,4,1,0,3,1,3,1,2,1,0,3.0,21
14,15,R.J. Alaniz,28,CIN,8.1,6,6,2,0,0,0,0,0,,0,0,6,2,33%,8,.389,1,0,4,1,0,5,3,3,3,2,3,1,4.2,19
15,16,Matt Albers,36,MIL,56.1,62,62,12,6,5,5,4,1,80%,18,10,31,7,23%,7,1.414,23,22,17,33,11,18,20,42,9,21,12,12,2.7,15
16,17,Hanser Alberto,26,BAL,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,0,0,0,1,0,1,0,0,0,0,3.0,20
17,18,Victor Alcantara,26,DET,39.0,43,43,7,3,2,3,0,3,0%,13,10,25,12,48%,8,.918,16,10,15,15,5,23,16,27,6,17,7,12,2.7,15
18,19,Scott Alexander*,29,LAD,17.1,28,28,4,3,2,0,0,0,,9,7,18,10,56%,7,1.060,8,8,12,15,7,6,10,18,1,17,4,7,1.9,10
19,20,Tyler Alexander*,24,DET,34.1,9,4,1,0,0,0,0,0,,0,0,0,0,,9,.862,0,1,3,0,1,3,0,4,2,1,2,0,6.0,36
20,21,Cody Allen,30,LAA,23.0,25,25,13,0,2,4,4,0,100%,4,0,5,2,40%,9,.713,6,4,13,9,3,13,4,21,3,6,4,4,2.8,20
21,22,Logan Allen*,22,TOT,27.2,9,5,3,0,1,0,0,0,,0,0,0,0,,,.765,1,0,4,0,1,4,0,5,3,0,3,1,5.0,26
22,23,Logan Allen*,22,SDP,25.1,8,4,2,0,1,0,0,0,,0,0,0,0,,6,.812,1,0,3,0,1,3,0,4,2,0,2,1,4.5,22
23,24,Logan Allen*,22,CLE,2.1,1,1,1,0,0,0,0,0,,0,0,0,0,,7,.150,0,0,1,0,0,1,0,1,1,0,1,0,7.0,40
24,25,Yency Almonte,25,COL,27.2,18,18,6,0,1,1,0,1,0%,1,0,10,2,20%,7,.406,3,0,13,3,2,13,8,10,11,2,11,0,4.6,28
25,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
26,26,Dan Altavilla,26,SEA,8.1,10,10,3,0,0,1,0,1,0%,1,0,4,4,100%,9,.998,2,3,5,2,1,7,2,8,0,3,0,2,2.5,19
27,27,Aaron Altherr,28,PHI,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,0,0,0,1,0,1,0,0,0,0,3.0,19
28,28,Jose Alvarado*,24,TBR,30.0,35,34,16,1,5,9,7,2,78%,17,8,8,1,13%,9,1.984,20,6,8,21,8,5,4,30,2,11,3,7,2.6,17
29,29,Jose Alvarez*,30,PHI,53.2,60,59,10,3,4,3,1,2,33%,15,12,33,10,30%,7,1.107,19,13,25,23,11,25,19,40,10,25,12,18,2.6,14
30,30,Adbert Alzolay,24,CHC,12.1,4,2,1,1,0,0,0,0,,0,0,0,0,,8,.709,0,1,1,1,0,1,0,2,1,0,1,0,7.5,41
31,31,Chase Anderson,31,MIL,120.0,28,5,1,1,0,0,0,0,,0,0,3,0,0%,8,.876,0,0,5,2,0,3,2,3,4,0,5,0,6.0,33
32,32,Cody Anderson,28,CLE,8.2,5,3,2,0,0,1,0,1,0%,1,0,3,2,67%,9,.904,1,0,2,1,0,2,1,2,2,1,2,1,5.0,29
33,33,Drew Anderson,25,PHI,6.0,2,2,1,0,0,0,0,0,,0,0,0,0,,7,.375,0,1,1,0,0,2,0,2,2,0,2,0,9.0,52
34,34,Justin Anderson,26,LAA,41.2,48,48,7,3,0,2,1,1,50%,15,13,34,13,38%,6,1.086,11,20,17,24,5,19,20,28,4,15,9,8,2.6,17
35,35,Nick Anderson,28,TOT,57.2,59,59,3,5,4,2,1,1,50%,14,12,22,3,14%,,1.446,27,14,18,27,18,14,14,45,7,10,9,12,2.9,16
36,36,Nick Anderson,28,MIA,43.2,45,45,3,2,4,2,1,1,50%,9,7,17,3,18%,8,1.463,19,9,17,21,12,12,12,33,6,9,7,10,2.9,17
37,37,Nick Anderson,28,TBR,14.0,14,14,0,3,0,0,0,0,,5,5,5,0,0%,8,1.380,8,5,1,6,6,2,2,12,1,1,2,2,3.0,14
38,38,Shaun Anderson,24,SFG,89.2,21,5,2,0,0,0,0,0,,1,1,3,2,67%,8,.930,2,0,3,2,0,3,1,4,2,1,2,0,4.2,25
39,39,Matt Andriese,29,ARI,60.2,47,47,12,5,4,2,1,1,50%,6,4,22,4,18%,7,.996,14,6,26,17,8,22,13,34,18,11,20,5,3.9,23
40,40,Victor Arano,24,PHI,4.2,3,3,1,1,0,0,0,0,,0,0,1,1,100%,12,.852,1,1,1,1,1,1,1,2,2,1,2,0,4.7,23
41,41,Pedro Araujo,25,BAL,0.2,1,1,0,0,0,0,0,0,,0,0,0,0,,7,.495,0,0,1,1,0,0,0,1,0,1,0,0,2.0,14
42,42,Rogelio Armenteros,25,HOU,18.0,5,3,2,0,0,1,1,0,100%,1,0,0,0,,7,.600,0,0,3,1,0,2,0,3,3,0,3,0,9.0,56
43,43,Shawn Armstrong,28,TOT,49.2,46,46,10,0,1,6,4,2,67%,14,8,22,8,36%,,1.131,14,15,17,22,4,20,15,31,16,12,20,8,3.2,21
44,44,Shawn Armstrong,28,SEA,3.2,4,4,1,0,1,0,0,0,,0,0,4,1,25%,9,1.023,1,0,3,1,0,3,2,2,1,1,1,1,2.8,23
45,45,Shawn Armstrong,28,BAL,46.0,42,42,9,0,0,6,4,2,67%,14,8,18,7,39%,7,1.143,13,15,14,21,4,17,13,29,15,11,19,7,3.3,21
46,46,Humberto Arteaga,25,KCR,1.2,1,1,1,0,0,0,0,0,,0,0,2,0,0%,8,.000,0,0,0,0,0,1,1,0,1,0,1,0,5.0,23
47,47,Alex Avila,32,ARI,2.0,2,2,2,0,0,0,0,0,,0,0,0,0,,9,.013,0,0,1,0,0,2,0,2,0,0,0,0,3.0,13
48,48,Luis Avilan*,29,NYM,29.0,38,38,7,4,0,0,0,0,,5,3,26,5,19%,8,.816,12,5,21,13,9,16,17,21,3,19,5,9,2.3,14
49,49,Michel Baez,23,SDP,19.2,16,16,5,0,1,0,0,0,,0,0,9,5,56%,6,.556,2,4,8,1,2,13,5,11,7,1,9,1,3.7,24
50,50,Pedro Baez,31,LAD,63.1,65,65,9,7,2,6,1,5,17%,28,22,30,10,33%,8,1.376,28,22,15,38,8,19,18,47,8,11,9,14,2.9,16
51,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
52,51,Sandy Baez,25,DET,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,8,.078,0,0,1,0,0,1,0,1,0,0,0,0,3.0,10
53,52,Anthony Banda*,25,TBR,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.240,0,0,1,1,0,0,0,1,0,0,0,0,3.0,14
54,53,Manny Banuelos*,28,CHW,46.2,14,6,2,1,0,0,0,0,,0,0,5,1,20%,7,.829,0,1,5,0,1,5,3,3,3,1,5,0,6.0,39
55,54,Luke Bard,28,LAA,38.1,26,23,5,1,2,0,0,0,,1,1,14,6,43%,7,.884,4,7,12,7,2,14,10,13,14,1,16,2,4.6,26
56,55,Scott Barlow,26,KCR,60.2,53,53,6,3,3,3,1,2,33%,16,12,35,10,29%,6,1.258,22,18,13,21,11,21,22,31,19,14,21,7,3.4,21
57,56,Jacob Barnes,29,TOT,27.1,26,25,6,1,2,0,0,0,,1,1,3,2,67%,,.514,2,5,16,5,2,18,1,24,5,5,5,4,3.2,20
58,57,Jacob Barnes,29,MIL,19.2,18,17,3,1,1,0,0,0,,1,1,0,0,,7,.417,1,4,10,3,1,13,0,17,4,3,4,3,3.3,21
59,58,Jacob Barnes,29,KCR,7.2,8,8,3,0,1,0,0,0,,0,0,3,2,67%,8,.762,1,1,6,2,1,5,1,7,1,2,1,1,2.9,18
60,59,Matt Barnes,29,BOS,55.1,60,60,13,4,4,11,4,7,36%,34,23,27,7,26%,8,1.721,37,14,9,42,11,7,15,45,7,17,9,17,2.8,19
61,60,Tony Barnette,35,CHC,1.1,2,2,0,0,0,0,0,0,,0,0,1,0,0%,8,.736,0,1,1,1,0,1,1,1,0,1,0,0,2.0,13
62,61,Kyle Barraclough,29,TOT,28.1,36,36,7,1,2,2,0,2,0%,10,8,13,11,85%,,1.172,12,8,15,13,7,16,7,29,2,18,2,8,2.4,17
63,62,Kyle Barraclough,29,WSN,25.2,33,33,6,1,2,2,0,2,0%,10,8,13,11,85%,8,1.276,12,8,13,13,7,13,7,26,2,17,2,8,2.3,17
64,63,Kyle Barraclough,29,SFG,2.2,3,3,1,0,0,0,0,0,,0,0,0,0,,7,.180,0,0,2,0,0,3,0,3,0,1,0,0,2.7,17
65,64,Aaron Barrett,31,WSN,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,5,1.048,0,1,0,0,0,1,0,1,0,0,0,0,3.0,14
66,65,Jake Barrett,27,NYY,3.2,2,2,2,0,0,0,0,0,,0,0,2,0,0%,8,.079,0,0,2,0,0,2,1,1,2,0,2,0,5.5,35
67,66,Jaime Barria,22,LAA,70.1,16,6,1,2,3,0,0,0,,0,0,4,2,50%,5,.812,1,4,1,2,3,1,2,4,6,0,6,0,11.2,70
68,67,Tyler Bashlor,26,NYM,19.0,21,21,6,0,3,3,0,3,0%,4,1,12,4,33%,8,.709,6,4,11,9,2,10,6,15,5,9,5,6,2.7,16
69,68,Anthony Bass,31,SEA,40.2,36,36,11,2,4,7,2,5,29%,13,6,11,0,0%,8,1.368,16,7,12,19,7,10,6,30,8,1,10,3,3.4,18
70,69,Gerson Bautista,24,SEA,9.0,8,6,3,0,0,0,0,0,,0,0,0,0,,9,.645,0,1,4,1,0,5,0,6,1,0,1,1,3.5,23
71,70,David Bednar,24,SDP,3.1,4,4,2,0,0,0,0,0,,0,0,0,0,,9,.617,1,0,3,1,1,2,0,4,0,1,0,0,2.5,16
72,71,Cam Bedrosian,27,LAA,61.1,59,52,5,3,2,3,1,2,33%,18,15,15,6,40%,8,1.165,21,15,15,27,10,15,10,42,10,7,10,10,3.1,17
73,72,Tyler Beede,26,SFG,101.1,21,2,0,0,1,0,0,0,,0,0,0,0,,4,.928,0,0,2,0,0,2,0,2,2,0,2,0,6.5,59
74,73,Jalen Beeks*,25,TBR,100.0,29,26,3,6,1,1,1,0,100%,3,2,6,0,0%,3,.945,2,18,6,13,6,7,5,21,25,1,25,1,10.1,56
75,74,Travis Bergen*,25,SFG,19.2,21,21,8,2,0,0,0,0,,1,0,12,3,25%,8,.322,3,0,15,2,1,18,7,14,3,7,5,5,2.8,18
76,75,Chad Bettis,30,COL,63.2,39,36,9,1,4,3,1,2,33%,7,4,16,3,19%,8,.800,7,10,18,12,6,18,10,26,18,8,18,4,4.2,22
77,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
78,76,Joe Biagini,29,TOT,63.2,60,60,13,3,1,3,1,2,33%,16,11,30,6,20%,,.949,17,17,23,29,10,21,18,42,17,17,19,9,3.2,18
79,77,Joe Biagini,29,TOR,50.0,50,50,11,3,1,3,1,2,33%,15,10,29,6,21%,8,1.083,17,15,16,23,10,17,17,33,14,16,15,8,3.0,17
80,78,Joe Biagini,29,HOU,13.2,10,10,2,0,0,0,0,0,,1,1,1,0,0%,8,.450,0,2,7,6,0,4,1,9,3,1,4,1,4.1,24
81,79,Jesse Biddle*,27,TOT,28.0,30,30,3,0,1,1,0,1,0%,5,1,16,7,44%,,.679,5,4,20,10,1,19,9,21,8,11,10,3,2.8,21
82,80,Jesse Biddle*,27,TOT,16.1,15,15,2,0,0,1,0,1,0%,3,1,9,3,33%,,.508,2,2,10,3,0,12,5,10,5,4,7,1,3.3,24
83,81,Jesse Biddle*,27,ATL,11.2,15,15,1,0,1,0,0,0,,2,0,7,4,57%,8,.914,3,2,10,7,1,7,4,11,3,7,3,2,2.3,18
84,82,Jesse Biddle*,27,SEA,11.0,11,11,1,0,0,1,0,1,0%,3,1,5,3,60%,8,.555,2,1,7,3,0,8,3,8,3,3,4,0,3.0,22
85,83,Jesse Biddle*,27,TEX,5.1,4,4,1,0,0,0,0,0,,0,0,4,0,0%,11,.406,0,1,3,0,0,4,2,2,2,1,3,1,4.0,29
86,84,Shane Bieber,24,CLE,195.2,31,1,1,0,0,0,0,0,,0,0,0,0,,7,.968,0,0,1,0,0,1,0,1,1,0,1,0,6.0,17
87,85,Kyle Bird*,26,TEX,12.2,12,12,5,0,0,1,1,0,100%,1,0,14,4,29%,9,.333,1,1,9,3,0,9,6,6,5,5,6,1,3.2,23
88,86,Ty Blach*,28,TOT,24.2,6,2,1,0,0,0,0,0,,0,0,0,0,,,.621,0,0,2,0,0,2,0,2,2,0,2,0,9.5,64
89,87,Ty Blach*,28,SFG,6.1,2,2,1,0,0,0,0,0,,0,0,0,0,,7,.177,0,0,2,0,0,2,0,2,2,0,2,0,9.5,64
90,88,Ray Black,29,TOT,11.0,10,10,3,0,0,0,0,0,,1,1,8,0,0%,,.282,1,2,6,3,0,7,3,7,3,0,3,1,3.3,19
91,89,Ray Black,29,SFG,2.0,2,2,1,0,0,0,0,0,,0,0,0,0,,9,.014,0,0,2,1,0,1,0,2,0,0,0,0,3.0,26
92,90,Ray Black,29,MIL,9.0,8,8,2,0,0,0,0,0,,1,1,8,0,0%,6,.374,1,2,4,2,0,6,3,5,3,0,3,1,3.4,17
93,91,Paul Blackburn,25,OAK,9.0,3,2,1,0,1,0,0,0,,0,0,0,0,,11,.607,1,0,1,0,1,1,0,2,1,0,1,0,9.0,48
94,92,Michael Blazek,30,WSN,5.0,4,4,3,0,0,0,0,0,,0,0,0,0,,9,.031,0,0,1,2,0,2,0,4,1,0,1,0,3.8,22
95,93,Richard Bleier*,32,BAL,43.0,44,44,10,3,0,4,3,1,75%,9,5,31,17,55%,7,.893,11,14,17,15,6,23,19,25,12,17,17,7,2.9,14
96,94,Jerry Blevins*,35,ATL,27.2,37,37,11,1,0,1,1,0,100%,9,8,20,6,30%,8,.705,11,6,18,15,3,19,10,27,2,20,3,9,2.2,13
97,95,Buddy Boshers*,31,TOR,13.1,18,17,5,0,3,0,0,0,,2,2,11,2,18%,7,.915,6,3,7,6,4,7,5,12,3,9,3,5,2.2,15
98,96,James Bourque,25,WSN,0.2,1,1,0,0,0,0,0,0,,0,0,0,0,,9,.043,0,0,1,1,0,0,0,1,0,1,0,0,2.0,29
99,97,Matt Bowman,28,CIN,24.1,22,22,9,2,0,0,0,0,,0,0,9,4,44%,8,.419,1,5,15,4,1,17,7,15,7,6,7,4,3.3,20
100,98,Brad Boxberger,31,KCR,26.2,29,29,9,1,3,4,1,3,25%,4,0,8,3,38%,7,.923,8,5,15,9,4,16,4,25,2,6,2,6,2.8,17
101,99,Brad Brach,33,TOT,49.0,52,52,6,4,4,3,0,3,0%,7,4,27,5,19%,,1.082,17,11,21,16,13,23,14,38,13,23,14,10,2.8,18
102,100,Brad Brach,33,CHC,39.2,42,42,6,4,3,2,0,2,0%,6,4,22,5,23%,8,1.071,13,10,16,13,9,20,12,30,11,20,12,8,2.8,19
103,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
104,101,Brad Brach,33,NYM,9.1,10,10,0,0,1,1,0,1,0%,1,0,5,0,0%,6,1.135,4,1,5,3,4,3,2,8,2,3,2,2,2.8,14
105,102,Chasen Bradford,29,SEA,16.2,12,12,6,0,0,1,1,0,100%,2,1,11,1,9%,8,.653,3,1,5,4,1,7,4,8,4,1,5,3,4.2,21
106,103,Archie Bradley,26,ARI,64.2,59,58,27,4,4,16,13,3,81%,23,7,18,5,28%,8,1.465,27,10,21,37,10,11,13,45,17,10,17,10,3.3,20
107,104,Ryan Brasier,31,BOS,48.2,54,54,15,2,4,11,7,4,64%,21,9,9,6,67%,8,1.326,23,9,21,31,7,16,4,50,3,13,3,19,2.7,16
108,105,Steven Brault*,27,PIT,100.1,22,6,1,1,1,0,0,0,,0,0,0,0,,3,.994,1,0,5,1,1,4,0,6,6,0,6,0,8.8,58
109,106,John Brebbia,29,STL,66.1,58,58,19,3,3,1,0,1,0%,12,10,30,8,27%,8,.628,11,15,30,25,6,27,18,40,23,15,24,7,3.4,19
110,107,Brandon Brennan,27,SEA,40.0,36,36,7,2,6,2,0,2,0%,10,6,13,5,38%,8,1.244,11,10,14,16,8,12,8,28,9,5,10,3,3.3,18
111,108,Colten Brewer,26,BOS,50.0,51,51,8,1,2,1,0,1,0%,6,5,30,10,33%,7,.882,10,15,24,15,7,29,18,33,9,17,9,8,2.9,18
112,109,Austin Brice,27,MIA,44.2,36,36,10,1,0,1,0,1,0%,8,7,16,6,38%,7,.642,8,8,17,11,5,20,8,28,11,6,13,8,3.7,22
113,110,Jeff Brigham,27,MIA,29.2,23,23,7,2,2,1,0,1,0%,4,3,7,3,43%,7,.732,6,3,11,7,4,12,4,19,8,4,8,5,3.9,24
114,111,Zack Britton*,31,NYY,56.1,61,61,15,3,1,7,3,4,43%,36,29,19,5,26%,8,1.549,26,16,18,47,4,10,10,51,1,12,2,12,2.8,14
115,112,Aaron Brooks,29,TOT,95.2,26,9,7,0,0,0,0,0,,0,0,3,2,67%,,.761,0,1,5,4,0,5,1,8,7,0,7,0,6.3,35
116,113,Aaron Brooks,29,OAK,50.1,15,9,7,0,0,0,0,0,,0,0,3,2,67%,8,.648,0,1,5,4,0,5,1,8,7,0,7,0,6.3,35
117,114,Mike Brosseau,25,TBR,4.0,3,3,3,0,0,0,0,0,,0,0,0,0,,9,.012,0,0,2,0,0,3,0,3,1,0,1,0,4.0,20
118,115,Ryan Buchter*,32,OAK,40.1,59,59,7,0,1,4,0,4,0%,19,12,34,14,41%,8,.851,20,12,26,28,7,24,21,38,5,37,7,18,2.1,12
119,116,Aaron Bummer*,25,CHW,57.0,49,49,5,0,0,3,1,2,33%,23,20,28,6,21%,7,1.424,20,16,12,28,7,14,19,30,17,9,20,5,3.5,18
120,117,Nick Burdi,26,PIT,8.2,11,11,3,2,1,1,0,1,0%,1,0,1,1,100%,8,1.360,6,1,3,2,5,4,1,10,0,4,1,1,2.4,15
121,118,Corbin Burnes,24,MIL,46.0,30,26,7,1,3,1,1,0,100%,4,3,12,5,42%,7,.941,8,7,11,7,6,13,6,20,8,9,8,3,3.3,20
122,119,Ryan Burr,25,CHW,19.2,16,15,2,1,0,0,0,0,,0,0,7,5,71%,7,.520,1,1,12,6,2,7,5,10,6,2,7,0,3.5,22
123,120,Ty Buttrey,26,LAA,64.1,64,64,6,6,7,6,2,4,33%,29,22,34,12,35%,8,1.570,33,19,12,38,12,14,19,45,14,18,15,17,3.0,17
124,121,Genesis Cabrera*,22,STL,14.2,6,4,3,0,0,1,1,0,100%,1,0,3,1,33%,9,.770,0,0,4,1,0,3,1,3,2,1,2,0,4.8,25
125,122,Trevor Cahill,31,LAA,94.2,32,21,8,1,4,0,0,0,,0,0,9,3,33%,6,.846,3,6,11,4,7,10,5,16,16,2,16,1,5.9,35
126,123,Griffin Canning,23,LAA,90.1,18,1,1,0,1,0,0,0,,0,0,0,0,,15,1.024,1,0,0,0,1,0,0,1,1,0,1,0,6.0,42
127,124,Matt Carasiti,27,SEA,9.2,11,6,2,0,0,0,0,0,,0,0,3,2,67%,9,.795,1,0,5,3,0,3,2,4,0,1,0,1,2.7,14
128,125,Victor Caratini,25,CHC,2.0,2,2,2,0,0,0,0,0,,0,0,0,0,,9,.008,0,0,1,0,0,2,0,2,0,0,0,0,3.0,15
129,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
130,126,Shane Carle,27,ATL,9.1,6,6,0,0,0,0,0,0,,0,0,3,2,67%,6,.478,1,0,5,1,1,4,1,5,2,1,3,0,4.7,31
131,127,David Carpenter,33,TEX,3.1,4,4,2,0,0,0,0,0,,0,0,3,3,100%,4,.284,0,0,4,0,0,4,2,2,0,2,0,0,2.5,17
132,128,Carlos Carrasco,32,CLE,69.0,16,4,0,0,1,1,0,1,0%,1,0,0,0,,8,.957,1,1,2,2,1,1,0,4,0,0,0,0,3.0,21
133,129,Andrew Cashner,32,TOT,139.1,32,9,2,1,1,1,1,0,100%,2,1,0,0,,,.956,3,3,3,4,2,3,0,9,2,1,2,2,4.2,21
134,130,Andrew Cashner,32,BOS,43.0,15,9,2,1,1,1,1,0,100%,2,1,0,0,,7,1.038,3,3,3,4,2,3,0,9,2,1,2,2,4.2,21
135,131,Diego Castillo,25,TBR,60.0,57,51,16,3,7,10,8,2,80%,25,15,11,1,9%,9,1.596,29,12,10,31,14,6,8,43,11,12,12,13,3.1,17
136,132,Jose Castillo*,23,SDP,0.2,1,1,0,0,0,0,0,0,,0,0,0,0,,7,.758,0,0,1,1,0,0,0,1,0,1,0,0,2.0,17
137,133,Miguel Castro,24,BAL,67.2,59,59,27,1,2,5,2,3,40%,12,7,45,20,44%,8,.738,14,11,30,16,5,38,27,32,22,18,23,11,3.4,19
138,134,Xavier Cedeno*,32,CHC,2.0,5,5,1,0,0,0,0,0,,1,0,0,0,,8,.486,1,2,2,1,1,3,0,5,0,4,0,1,1.2,9
139,135,Luis Cessa,27,NYY,73.0,37,37,13,2,1,1,1,0,100%,5,4,15,3,20%,8,.602,5,9,21,13,4,20,8,29,26,3,28,1,5.9,33
140,136,Jhoulys Chacin,31,TOT,91.2,21,1,0,0,0,0,0,0,,0,0,0,0,,,.976,0,0,1,0,0,1,0,1,0,0,0,0,3.0,17
141,137,Jhoulys Chacin,31,BOS,3.0,2,1,0,0,0,0,0,0,,0,0,0,0,,6,.500,0,0,1,0,0,1,0,1,0,0,0,0,3.0,17
142,138,Andrew Chafin*,29,ARI,50.0,70,70,6,2,2,3,0,3,0%,30,23,46,4,9%,8,1.226,29,14,26,43,11,16,27,43,10,43,15,20,2.1,12
143,139,Aroldis Chapman*,31,NYY,53.2,56,56,49,3,2,41,36,5,88%,41,0,10,1,10%,9,1.844,30,13,13,51,4,1,5,51,0,4,0,16,2.9,17
144,140,JT Chargois,28,LAD,21.1,21,21,9,1,0,0,0,0,,0,0,11,7,64%,8,.330,0,4,17,9,0,12,6,15,4,5,5,4,3.0,14
