,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
145,141,Tyler Chatwood,29,CHC,69.1,34,29,9,4,2,4,2,2,50%,7,3,12,6,50%,5,1.036,8,7,12,12,6,11,6,23,15,2,15,2,4.8,28
146,142,Jesse Chavez,35,TEX,78.0,48,39,5,2,2,2,1,1,50%,10,8,19,8,42%,7,.977,17,5,16,17,8,14,10,29,11,6,13,7,3.7,21
147,143,Wei-Yin Chen*,33,MIA,62.0,42,42,14,0,1,0,0,0,,4,3,14,6,43%,6,.386,5,3,33,6,4,32,9,33,21,9,23,4,4.4,25
148,144,Yonny Chirinos,25,TBR,126.2,23,6,0,3,0,0,0,0,,0,0,1,0,0%,2,.846,0,4,2,4,1,1,1,5,6,0,6,0,12.7,62
149,145,Adam Cimber,28,CLE,52.1,61,61,10,5,3,2,0,2,0%,21,18,41,9,22%,8,1.213,27,14,18,31,13,17,27,34,13,30,18,15,2.6,12
150,146,Steve Cishek,33,CHC,59.1,63,63,21,3,5,10,7,3,70%,23,11,19,4,21%,7,1.501,28,13,22,40,13,10,15,48,8,13,9,20,2.8,16
151,147,Jose Cisnero,30,DET,29.0,27,27,8,0,3,2,0,2,0%,6,4,16,5,31%,8,1.011,10,5,12,6,5,16,12,15,8,10,8,3,3.2,20
152,148,Taylor Clarke,26,ARI,71.0,18,4,3,0,1,1,1,0,100%,1,0,0,0,,7,.872,1,0,3,2,1,1,0,4,4,0,4,0,7.3,34
153,149,Emmanuel Clase,21,TEX,15.2,15,14,7,2,2,1,1,0,100%,4,3,8,2,25%,9,1.404,5,5,4,5,2,7,4,10,3,4,3,3,3.1,15
154,150,Alex Claudio*,27,MIL,58.0,75,75,9,2,2,3,0,3,0%,25,21,42,10,24%,6,1.002,27,25,22,34,16,25,28,47,10,39,12,24,2.3,12
155,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
156,151,Tyler Clippard,34,CLE,56.2,48,46,7,1,0,0,0,0,,7,7,20,5,25%,7,.759,10,15,20,13,5,28,14,32,15,3,17,6,3.5,17
157,152,A.J. Cole,27,CLE,26.0,25,25,9,3,1,1,1,0,100%,2,0,18,2,11%,8,1.005,4,8,12,4,3,18,10,15,10,8,12,4,3.1,19
158,153,Taylor Cole,29,LAA,45.1,32,26,8,3,2,0,0,0,,4,4,12,1,8%,7,.945,6,10,10,9,4,13,7,19,13,4,13,6,4.4,26
159,154,Tim Collins*,29,CHC,8.2,9,9,3,0,0,0,0,0,,0,0,5,0,0%,9,.451,2,0,7,1,2,6,3,6,2,3,3,0,2.9,18
160,155,Alex Colome,30,CHW,54.0,54,54,48,4,3,27,26,1,96%,27,0,13,4,31%,9,1.522,27,9,14,35,9,10,7,47,5,5,5,10,3.0,15
161,156,Adam Conley*,29,MIA,55.2,55,55,17,2,8,4,2,2,50%,10,6,21,2,10%,9,.956,19,7,26,20,10,25,12,43,10,17,14,12,3.0,18
162,157,Sam Coonrod,26,SFG,21.2,25,25,9,4,1,1,0,1,0%,2,0,12,2,17%,8,.624,4,5,13,5,2,18,6,19,0,6,0,4,2.6,13
163,158,Jimmy Cordero,27,TOT,25.1,20,20,4,0,1,0,0,0,,2,2,13,0,0%,,.689,4,3,13,6,1,13,10,10,10,6,11,2,3.8,20
164,159,Jimmy Cordero,27,TOR,1.1,1,1,1,0,1,0,0,0,,0,0,1,0,0%,12,1.274,0,0,1,0,0,1,1,0,1,0,1,0,4.0,15
165,160,Jimmy Cordero,27,CHW,24.0,19,19,3,0,0,0,0,0,,2,2,12,0,0%,6,.659,4,3,12,6,1,12,9,10,9,6,10,2,3.8,20
166,161,Nestor Cortes Jr.*,24,NYY,59.2,28,28,5,5,0,1,0,1,0%,3,1,15,5,33%,7,.750,4,7,16,12,4,12,10,18,21,5,21,0,6.4,41
167,162,Dylan Covey,27,CHW,55.0,17,6,2,0,1,1,0,1,0%,1,0,10,8,80%,7,.874,2,2,2,1,1,4,5,1,4,1,4,0,4.8,25
168,163,Stefan Crichton,27,ARI,22.1,19,19,5,0,0,0,0,0,,1,1,12,4,33%,7,.308,1,4,14,7,0,12,8,11,8,7,9,4,3.5,18
169,164,Kyle Crick,26,PIT,49.0,52,52,9,3,7,6,0,6,0%,19,13,9,3,33%,8,1.523,23,12,16,25,11,16,4,48,2,10,2,12,2.8,18
170,165,Charlie Culberson,30,ATL,2.0,2,2,2,0,0,0,0,0,,0,0,0,0,,9,.001,0,0,0,0,0,2,0,2,0,0,0,0,3.0,26
171,166,John Curtiss,26,LAA,2.1,1,1,1,0,0,0,0,0,,0,0,1,0,0%,6,.036,0,0,1,0,0,1,1,0,1,0,1,0,7.0,48
172,167,Austin Davis*,26,PHI,15.0,10,10,6,0,0,0,0,0,,0,0,0,0,,9,.231,0,1,9,1,0,9,0,10,4,0,4,1,4.5,30
173,168,Chris Davis,33,BAL,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,0,0,0,1,0,1,0,0,0,0,3.0,22
174,169,Rookie Davis,26,PIT,10.2,5,4,2,0,0,0,0,0,,0,0,0,0,,9,.622,0,1,2,0,0,4,0,4,3,0,3,0,5.8,29
175,170,Taylor Davis,29,CHC,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,0,0,0,1,0,1,0,0,0,0,3.0,12
176,171,Wade Davis,33,COL,42.1,48,48,32,1,6,18,15,3,83%,18,0,9,1,11%,9,1.535,19,7,22,27,10,11,5,43,2,11,2,7,2.6,17
177,172,Grant Dayton*,31,ATL,8.1,10,10,2,0,0,0,0,0,,1,1,6,1,17%,5,.302,1,2,7,4,0,6,3,7,0,4,1,3,2.5,15
178,173,Chase De Jong,25,MIN,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.126,0,0,0,1,0,0,0,1,0,0,0,0,3.0,46
179,174,Jose De Leon,26,TBR,3.0,2,2,0,1,0,0,0,0,,0,0,0,0,,6,.978,0,0,2,0,0,2,0,2,1,0,2,0,4.5,30
180,175,Enyel De Los Santos,23,PHI,11.0,5,4,3,0,0,0,0,0,,0,0,0,0,,7,.556,0,0,4,2,0,2,0,4,3,0,3,0,5.3,28
181,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
182,176,Miguel Del Pozo*,26,LAA,7.1,10,10,1,1,1,0,0,0,,1,0,7,2,29%,6,.904,1,3,6,1,1,8,3,7,1,6,2,2,2.2,12
183,177,Daniel Descalso,32,CHC,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,7,.004,0,0,1,0,0,1,0,1,0,0,0,0,3.0,14
184,178,Ian Desmond,33,COL,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,8,.000,0,0,0,0,0,1,0,1,0,0,0,0,3.0,15
185,179,Ross Detwiler*,33,CHW,54.1,15,6,2,0,0,0,0,0,,0,0,3,3,100%,6,.730,0,0,6,0,0,6,2,4,4,1,4,0,6.3,35
186,180,Chris Devenski,28,HOU,61.0,55,54,19,2,2,1,0,1,0%,7,6,18,4,22%,8,.683,8,11,30,28,3,23,11,43,11,10,11,11,3.3,18
187,181,Edwin Diaz,25,NYM,53.0,60,60,45,2,7,32,25,7,78%,32,0,13,8,62%,9,2.019,27,15,18,42,11,7,8,52,2,12,2,12,2.7,17
188,182,Jairo Diaz,28,COL,46.1,47,47,13,5,3,3,1,2,33%,10,7,19,6,32%,7,1.010,17,12,18,16,8,23,12,35,7,9,9,12,3.0,15
189,183,Miguel Diaz,24,SDP,6.1,5,5,2,0,0,0,0,0,,1,1,3,0,0%,6,.806,0,3,2,2,0,3,3,2,3,1,3,0,3.8,20
190,184,Yennsy Diaz,22,TOR,0.2,1,1,0,0,0,0,0,0,,0,0,0,0,,5,1.143,0,0,1,0,0,1,0,1,0,1,0,0,2.0,33
191,185,Phillip Diehl*,24,COL,2.0,2,2,1,0,0,0,0,0,,0,0,0,0,,9,.009,0,0,1,1,0,1,0,2,0,0,0,1,3.0,24
192,186,Jake Diekman*,32,TOT,56.0,68,68,5,1,7,2,0,2,0%,31,27,32,8,25%,,1.476,32,18,18,39,13,16,20,48,4,24,8,18,2.5,16
193,187,Jake Diekman*,32,KCR,41.2,48,48,4,0,6,2,0,2,0%,20,18,22,5,23%,8,1.526,26,8,14,26,10,12,15,33,3,14,5,11,2.6,16
194,188,Jake Diekman*,32,OAK,14.1,20,20,1,1,1,0,0,0,,11,9,10,3,30%,8,1.338,6,10,4,13,3,4,5,15,1,10,3,7,2.2,14
195,189,Brandon Dixon,27,DET,2.0,2,2,2,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,0,0,0,2,0,2,0,0,0,0,3.0,14
196,190,Randy Dobnak,24,MIN,11.0,5,3,3,0,0,1,1,0,100%,1,0,0,0,,8,.455,0,0,3,1,0,2,0,3,2,0,2,0,8.0,46
197,191,Seranthony Dominguez,24,PHI,24.2,27,27,2,3,0,2,0,2,0%,11,9,7,2,29%,7,1.416,14,9,3,15,8,4,5,22,2,7,2,8,2.7,17
198,192,Sean Doolittle*,32,WSN,55.0,57,57,52,6,4,34,28,6,82%,34,0,20,8,40%,9,1.945,26,15,16,46,9,2,12,45,7,10,7,16,2.9,17
199,193,Kyle Dowdy,26,TEX,22.1,13,12,2,2,1,1,0,1,0%,1,0,8,6,75%,7,.694,4,1,7,3,2,7,4,8,7,3,8,0,4.8,31
200,194,Brian Dozier,32,WSN,1.0,1,1,1,0,0,0,0,0,,0,0,3,3,100%,8,.000,0,0,0,0,0,1,1,0,0,0,0,0,3.0,16
201,195,Oliver Drake,32,TBR,44.0,40,40,9,4,2,3,2,1,67%,11,8,17,4,24%,8,.976,13,7,19,20,7,13,13,27,14,10,15,10,3.3,20
202,196,Tyler Duffey,28,MIN,49.1,50,50,12,4,1,1,0,1,0%,13,11,23,4,17%,8,.977,17,10,21,28,5,17,15,35,9,15,10,11,3.0,17
203,197,Zach Duke*,36,CIN,23.1,30,30,4,3,1,0,0,0,,5,4,13,5,38%,6,.652,7,9,14,12,4,14,8,22,4,19,5,7,2.3,14
204,198,Ryan Dull,29,TOT,10.0,8,8,4,0,0,0,0,0,,1,1,0,0,,,.568,1,3,4,2,1,5,0,8,3,1,3,1,3.8,27
205,199,Ryan Dull,29,OAK,9.0,7,7,4,0,0,0,0,0,,1,1,0,0,,8,.380,0,3,4,2,0,5,0,7,3,1,3,1,3.9,27
206,200,Ryan Dull,29,NYY,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,7,1.940,1,0,0,0,1,0,0,1,0,0,0,0,3.0,26
207,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
208,201,Mike Dunn*,34,COL,17.2,28,28,2,1,0,1,0,1,0%,4,2,20,7,35%,7,.838,8,7,13,8,5,15,12,16,1,19,1,10,1.9,11
209,202,Jon Duplantier,24,ARI,27.2,10,7,3,1,0,1,1,0,100%,1,0,0,0,,10,1.148,2,2,3,2,2,3,0,7,4,1,4,0,6.3,39
210,203,Montana DuRapau,27,PIT,17.1,14,12,6,0,0,0,0,0,,0,0,5,3,60%,9,.310,0,3,5,3,0,9,2,10,4,3,4,3,3.7,23
211,204,Sam Dyson,31,TOT,62.1,61,61,8,5,1,4,2,2,50%,28,23,16,7,44%,,1.193,32,12,17,32,12,17,8,53,6,7,8,12,3.1,14
212,205,Sam Dyson,31,SFG,51.0,49,49,8,4,1,3,2,1,67%,20,17,14,6,43%,7,1.157,26,9,14,21,12,16,6,43,5,5,6,10,3.1,13
213,206,Sam Dyson,31,MIN,11.1,12,12,0,1,0,1,0,1,0%,8,6,2,1,50%,7,1.328,6,3,3,11,0,1,2,10,1,2,2,2,2.8,17
214,207,Ryan Eades,27,TOT,7.0,4,4,1,0,0,0,0,0,,0,0,1,0,0%,,.179,0,0,4,1,0,3,1,3,4,0,4,0,5.3,33
215,208,Ryan Eades,27,MIN,3.2,2,2,0,0,0,0,0,0,,0,0,0,0,,8,.279,0,0,2,0,0,2,0,2,2,0,2,0,5.5,37
216,209,Ryan Eades,27,BAL,3.1,2,2,1,0,0,0,0,0,,0,0,1,0,0%,8,.064,0,0,2,1,0,1,1,1,2,0,2,0,5.0,30
217,210,Carl Edwards Jr.,27,TOT,17.0,22,22,4,1,1,2,0,2,0%,6,4,12,8,67%,,.881,9,2,11,8,2,12,8,14,2,11,2,4,2.3,16
218,211,Carl Edwards Jr.,27,CHC,15.1,20,20,3,1,1,2,0,2,0%,6,4,12,8,67%,8,1.044,9,2,9,8,2,10,8,12,2,10,2,3,2.3,15
219,212,Carl Edwards Jr.,27,SDP,1.2,2,2,1,0,0,0,0,0,,0,0,0,0,,9,.137,0,0,2,0,0,2,0,2,0,1,0,1,2.5,26
220,213,Jon Edwards,31,CLE,8.0,9,9,3,2,0,0,0,0,,0,0,2,1,50%,9,.423,1,1,6,3,2,4,2,7,1,4,1,1,2.7,16
221,214,Zach Eflin,25,PHI,140.0,28,4,3,0,0,0,0,0,,0,0,0,0,,12,.924,1,0,3,0,1,3,0,4,2,0,2,0,4.3,22
222,215,Jerad Eickhoff,28,PHI,58.1,12,2,1,0,0,1,1,0,100%,1,0,0,0,,7,.788,0,0,1,1,0,1,0,2,1,0,1,0,7.5,49
223,216,Roenis Elias*,30,TOT,50.0,48,48,28,4,2,17,14,3,82%,19,2,25,15,60%,,1.498,22,9,15,27,10,11,12,36,7,13,10,11,3.1,18
224,217,Roenis Elias*,30,SEA,47.0,44,44,28,4,2,16,14,2,88%,17,1,22,14,64%,9,1.533,21,8,13,25,10,9,11,33,7,10,9,11,3.2,18
225,218,Roenis Elias*,30,WSN,3.0,4,4,0,0,0,1,0,1,0%,2,1,3,1,33%,8,.951,1,1,2,2,0,2,1,3,0,3,1,0,2.3,10
226,219,Chris Ellis,26,KCR,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.152,0,0,1,0,0,1,0,1,0,0,0,0,3.0,17
227,220,Nathan Eovaldi,29,BOS,48.1,19,11,2,1,0,1,0,1,0%,6,4,1,0,0%,8,.932,3,4,3,9,0,2,1,10,3,2,3,1,3.6,23
228,221,Robbie Erlin*,28,SDP,50.2,34,33,9,0,0,1,0,1,0%,7,5,12,1,8%,6,.475,7,6,20,10,1,22,8,25,16,7,16,4,4.4,26
229,222,Luis Escobar,23,PIT,5.2,4,4,2,0,0,0,0,0,,0,0,4,0,0%,10,.138,0,0,4,0,0,4,2,2,3,1,3,0,4.3,26
230,223,Tom Eshelman,25,BAL,36.0,10,6,2,1,0,0,0,0,,0,0,2,2,100%,6,.748,0,2,2,1,0,5,1,5,5,1,5,0,8.8,47
231,224,Carlos Estevez,26,COL,65.1,64,64,13,2,2,2,0,2,0%,9,7,36,12,33%,7,.873,16,19,27,22,10,32,22,42,17,16,21,11,3.1,18
232,225,Peter Fairbanks,25,TOT,13.0,12,12,0,1,2,0,0,0,,1,1,2,1,50%,,.819,1,4,7,4,2,6,2,10,4,2,4,0,3.3,19
233,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
234,226,Peter Fairbanks,25,TEX,8.2,8,8,0,0,2,0,0,0,,0,0,2,1,50%,8,.714,1,1,6,2,2,4,2,6,3,2,3,0,3.3,21
235,227,Peter Fairbanks,25,TBR,4.1,4,4,0,1,0,0,0,0,,1,1,0,0,,8,1.057,0,3,1,2,0,2,0,4,1,0,1,0,3.3,15
236,228,Jeurys Familia,29,NYM,51.0,57,57,13,4,2,4,0,4,0%,16,12,13,5,38%,8,1.090,17,9,30,29,6,22,8,49,5,16,6,15,2.7,16
237,229,Jake Faria,25,TOT,15.1,12,12,3,0,0,0,0,0,,2,2,2,0,0%,,.655,2,2,8,4,0,8,1,11,6,2,7,0,3.8,27
238,230,Jake Faria,25,TBR,10.0,7,7,1,0,0,0,0,0,,0,0,2,0,0%,7,.530,1,1,5,1,0,6,1,6,5,1,6,0,4.3,31
239,231,Jake Faria,25,MIL,5.1,5,5,2,0,0,0,0,0,,2,2,0,0,,9,.901,1,1,3,3,0,2,0,5,1,1,1,0,3.2,20
240,232,Buck Farmer,28,DET,58.0,64,63,7,5,6,3,0,3,0%,16,13,44,18,41%,7,1.162,24,21,17,21,16,26,21,42,13,25,13,15,2.7,16
241,233,Kyle Farmer,28,CIN,1.1,1,1,1,0,0,0,0,0,,0,0,2,0,0%,8,.008,0,0,1,0,0,1,1,0,1,0,1,0,4.0,12
242,234,Luke Farrell,28,TEX,6.0,4,4,3,0,0,0,0,0,,0,0,5,1,20%,9,.260,0,1,3,1,0,3,2,2,2,1,2,0,4.5,24
243,235,Erick Fedde,26,WSN,73.0,18,6,1,0,0,0,0,0,,0,0,2,0,0%,7,.877,1,1,4,1,0,5,1,5,4,0,4,0,6.3,33
244,236,Tim Federowicz,31,TEX,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,0,0,0,1,0,1,0,0,0,0,3.0,13
245,237,Ryan Feierabend*,33,TOR,5.2,2,1,1,0,0,0,0,0,,0,0,1,0,0%,8,.624,0,0,1,0,0,1,1,0,1,0,1,0,5.0,30
246,238,Michael Feliz,26,PIT,50.2,52,51,5,2,3,1,0,1,0%,4,3,25,7,28%,7,.795,8,17,25,17,10,24,16,35,10,11,11,9,3.0,17
247,239,Caleb Ferguson*,22,LAD,39.0,39,38,3,1,0,0,0,0,,5,3,8,4,50%,7,.555,4,6,28,19,2,17,5,33,6,10,8,6,2.9,18
248,240,Jose Fernandez*,26,DET,3.2,4,4,0,0,0,0,0,0,,1,0,5,0,0%,9,.280,0,1,3,1,0,3,2,2,1,3,2,1,2.8,19
249,241,Junior Fernandez,22,STL,7.1,7,7,2,0,0,0,0,0,,0,0,1,0,0%,8,.445,0,1,6,2,0,5,1,6,2,2,2,1,3.1,20
250,242,Matt Festa,26,SEA,22.1,20,20,10,0,2,2,0,2,0%,5,3,5,2,40%,9,.762,5,3,12,8,3,9,2,18,5,3,6,1,3.4,20
251,243,Heath Fillmyer,25,KCR,17.0,6,3,1,0,0,0,0,0,,0,0,0,0,,7,.778,0,1,2,1,0,2,0,3,1,0,1,0,5.0,26
252,244,Chris Flexen,24,NYM,13.2,9,8,4,0,2,0,0,0,,0,0,5,1,20%,8,1.152,3,0,5,1,3,4,3,5,3,2,4,0,3.5,23
253,245,Dylan Floro,28,LAD,41.0,42,42,3,4,3,3,0,3,0%,8,5,26,11,42%,8,1.138,15,8,19,19,9,14,15,27,9,15,12,10,2.9,16
254,246,Brian Flynn*,29,KCR,29.1,11,10,3,2,1,0,0,0,,0,0,4,2,50%,5,.949,3,3,4,2,2,6,3,7,8,1,8,0,8.2,47
255,247,Wilmer Font,29,TOT,72.0,40,27,5,3,1,1,0,1,0%,2,1,17,8,47%,,.741,4,6,16,8,2,17,10,17,15,6,15,1,4.8,30
256,248,Wilmer Font,29,TOT,41.0,25,15,4,2,0,0,0,0,,1,1,9,6,67%,,.702,2,4,8,7,0,8,5,10,7,4,7,1,4.5,29
257,249,Wilmer Font,29,TBR,14.0,10,10,3,1,0,0,0,0,,1,1,6,3,50%,7,.407,2,1,6,6,0,4,3,7,4,3,4,1,4.2,29
258,250,Wilmer Font,29,NYM,31.0,15,12,1,1,1,1,0,1,0%,1,0,8,2,25%,7,.790,2,2,8,1,2,9,5,7,8,2,8,0,5.2,30
259,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
260,251,Wilmer Font,29,TOR,27.0,15,5,1,1,0,0,0,0,,0,0,3,3,100%,6,.862,0,3,2,1,0,4,2,3,3,1,3,0,5.2,29
261,252,Mike Ford,26,NYY,2.0,1,1,1,0,0,0,0,0,,0,0,0,0,,8,.000,0,0,0,0,0,1,0,1,1,0,1,0,6.0,42
262,253,Ty France,24,SDP,2.0,2,2,2,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,0,0,0,2,0,2,0,0,0,0,3.0,14
263,254,Caleb Frare*,25,CHW,2.2,5,5,1,0,0,0,0,0,,0,0,8,3,38%,8,.386,1,1,3,0,0,5,4,1,1,4,1,1,1.6,11
264,255,Mike Freeman,31,CLE,2.0,1,1,1,0,0,0,0,0,,0,0,0,0,,7,.000,0,0,0,0,0,1,0,1,1,0,1,0,6.0,23
265,256,Sam Freeman*,32,LAA,2.0,1,1,0,0,0,0,0,0,,0,0,2,1,50%,7,.216,0,0,1,0,0,1,1,0,1,0,1,0,6.0,40
266,257,Max Fried*,25,ATL,149.1,29,2,1,0,0,0,0,0,,0,0,2,2,100%,8,.919,1,0,1,0,1,1,1,1,0,1,0,0,2.5,18
267,258,Jace Fry*,25,CHW,48.2,59,59,6,2,4,2,0,2,0%,15,11,36,7,19%,7,.882,18,10,29,19,10,30,19,40,15,28,17,13,2.5,16
268,259,Paul Fry*,26,BAL,51.2,58,58,8,1,8,7,3,4,43%,19,9,39,11,28%,7,1.126,22,15,21,27,7,24,26,32,13,27,23,13,2.7,16
269,260,Carson Fulmer,25,CHW,21.2,16,15,3,1,1,0,0,0,,1,1,10,5,50%,3,.798,3,4,7,2,3,10,6,9,5,4,7,3,3.9,28
270,261,Drew Gagnon,29,NYM,22.2,17,17,7,3,1,1,0,1,0%,1,0,10,3,30%,8,.667,4,4,9,4,3,10,5,12,6,5,6,1,4.0,23
271,262,Giovanny Gallegos,27,STL,63.1,55,55,8,3,2,1,0,1,0%,17,16,42,7,17%,7,.828,14,17,23,26,3,26,20,35,22,12,26,5,3.5,18
272,263,John Gant,26,STL,62.2,57,57,13,10,0,6,3,3,50%,23,17,29,9,31%,7,1.214,21,15,21,32,11,14,18,39,18,13,19,8,3.3,18
273,264,Bryan Garcia,24,DET,2.0,2,2,1,0,0,0,0,0,,1,1,0,0,,9,1.174,0,2,0,1,0,1,0,2,0,0,0,0,3.0,14
274,265,Edgar Garcia,22,PHI,32.0,31,31,7,2,0,0,0,0,,2,2,9,1,11%,8,.425,2,7,20,7,1,23,6,25,7,9,8,4,3.1,19
275,266,Jarlin Garcia*,26,MIA,43.1,44,44,11,2,1,1,0,1,0%,5,4,27,6,22%,7,.737,11,8,24,14,6,24,15,29,11,13,12,10,3.0,15
276,267,Luis Garcia,32,LAA,56.1,58,56,17,2,1,3,1,2,33%,9,5,24,11,46%,8,.738,9,12,33,18,4,34,15,41,10,13,12,13,2.9,17
277,268,Yimi Garcia,28,LAD,59.1,59,59,22,1,4,2,0,2,0%,5,3,17,6,35%,8,.650,12,8,38,25,7,27,9,50,10,12,11,13,3.0,16
278,269,Amir Garrett*,27,CIN,52.2,62,62,3,4,2,2,0,2,0%,26,21,40,12,30%,7,1.429,29,25,8,31,12,19,25,37,10,26,21,12,2.5,15
279,270,Reed Garrett,26,DET,15.1,13,13,5,0,0,1,0,1,0%,1,0,3,0,0%,7,.287,1,0,11,2,0,11,2,11,4,1,5,1,3.5,25
280,271,Ryan Garton,29,SEA,3.0,2,2,0,0,0,0,0,0,,0,0,0,0,,6,.032,0,0,1,0,0,2,0,2,1,0,2,0,4.5,32
281,272,Kevin Gausman,28,TOT,94.0,26,10,4,0,1,0,0,0,,2,2,5,1,20%,,.918,2,2,5,3,2,5,2,8,5,1,5,1,4.2,26
282,273,Kevin Gausman,28,CIN,14.0,10,10,4,0,1,0,0,0,,2,2,5,1,20%,8,.798,2,2,5,3,2,5,2,8,5,1,5,1,4.2,26
283,274,Sam Gaviglio,29,TOR,88.2,45,45,9,4,2,0,0,0,,1,1,20,4,20%,6,.455,1,11,32,8,6,31,12,33,34,3,35,2,5.9,29
284,275,Cory Gearrin,33,TOT,49.1,56,54,6,1,1,0,0,0,,14,12,22,6,27%,,.960,12,18,22,25,6,23,15,39,6,19,8,9,2.6,14
285,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
286,276,Cory Gearrin,33,SEA,41.1,48,46,3,0,1,0,0,0,,13,11,22,6,27%,7,.984,11,15,18,21,5,20,15,31,5,17,7,8,2.6,14
287,277,Cory Gearrin,33,NYY,8.0,8,8,3,1,0,0,0,0,,1,1,0,0,,9,.837,1,3,4,4,1,3,0,8,1,2,1,1,3.0,18
288,278,Domingo German,26,NYY,136.2,25,1,0,1,0,0,0,0,,0,0,0,0,,6,.906,0,1,0,0,1,0,0,1,1,0,1,0,6.0,25
